postid,posttext,posttime,gameid,posttitle,userid,actionid,filter,rawposttext
158,"this is a cool high level description of the game of mafia: <a href='http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf'>http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf</a><br>
<br>
","07/14/08 15:57:52",28,,15,-1,0,"this is a cool high level description of the game of mafia: [url=http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf]http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf[/url]

"
159,,"07/14/08 19:58:03",28,"Day 1",15,-1,0,
160,"ok... just for fun, I started this game...<br>
let's see what happens.","07/14/08 19:58:24",28,,15,-1,0,"ok... just for fun, I started this game...
let's see what happens."
166,,"07/15/08 16:12:59",28,"Day 0 (game reset!)",15,-1,0,
168,"Post here if you find bugs.. You'll have to click ""signup"" first though...<br>
<br>
bugs<br>
----<br>
<br>
requests<br>
--------<br>
* game masters should have the ability to edit posts in their thread<br>
* When majority lynch is achieved, auto-lock thread (this one might be asking too much)<br>
* A role selection of [other town] and [other mafia] where mods can add favorite roles (can this be done with creative flavor text for villager/mafia/seer/mason?)<br>
* Once site expands restrictions on who can create threads as I see the WoW Gold Cheap ZOMG!!1! spammers becoming an issue when they find the site<br>
* cop sanity modifier<br>
* ability to add notes about other players (only visible to self)<br>
<br>
resolved<br>
--------<br>
* all seers are part of the same trust network - each seer has a unique channel now, and players can be members of as many trust networks as there are seers in a game<br>
* lynch and claim at the same time hides the vote  - claim goes into message text<br>
* Replacements - game master can place game players with other players<br>
<br>
","07/15/08 17:51:34",29,,15,-1,0,"Post here if you find bugs.. You'll have to click ""signup"" first though...

bugs
----

requests
--------
* game masters should have the ability to edit posts in their thread
* When majority lynch is achieved, auto-lock thread (this one might be asking too much)
* A role selection of [other town] and [other mafia] where mods can add favorite roles (can this be done with creative flavor text for villager/mafia/seer/mason?)
* Once site expands restrictions on who can create threads as I see the WoW Gold Cheap ZOMG!!1! spammers becoming an issue when they find the site
* cop sanity modifier
* ability to add notes about other players (only visible to self)

resolved
--------
* all seers are part of the same trust network - each seer has a unique channel now, and players can be members of as many trust networks as there are seers in a game
* lynch and claim at the same time hides the vote  - claim goes into message text
* Replacements - game master can place game players with other players

"
169,"Why'd you reset the game?","07/15/08 18:05:31",28,,20,-1,0,"Why'd you reset the game?"
170,"reset it back to day 0 so that people could sign up again","07/15/08 18:07:16",28,,15,-1,0,"reset it back to day 0 so that people could sign up again"
171,"create your own game from the user info page for your account (click it at the top right of the site)","07/15/08 18:08:44",28,,15,-1,0,"create your own game from the user info page for your account (click it at the top right of the site)"
179,"you can't vote for yourself, but once the game is started (past day 0) then you can vote along with posts","07/15/08 18:13:15",28,,15,-1,0,"you can't vote for yourself, but once the game is started (past day 0) then you can vote along with posts"
180,"So does everyone start out as a villager?","07/15/08 18:13:51",30,,20,-1,0,"So does everyone start out as a villager?"
184,"Good job allowing non-self hammers.","07/15/08 18:16:39",28,,20,-1,0,"Good job allowing non-self hammers."
187,"Yeah no self hammers is always a good thing, makes the game much better.","07/15/08 18:24:18",28,,21,-1,0,"Yeah no self hammers is always a good thing, makes the game much better."
191,"yes, by default everyone is a villager.. it's up to the game master to change the role before starting the game","07/15/08 18:53:31",30,,15,-1,0,"yes, by default everyone is a villager.. it's up to the game master to change the role before starting the game"
192,"<b>OK!</b>  Now it's day one... no more sign-ups... no more changing roles.  click on <i>my game</i> at the top to see your role and a history of your actions.  you can also perform private actions there if appropriate","07/15/08 18:54:14",28,"Day 1",15,-1,0,"[b]OK![/b]  Now it's day one... no more sign-ups... no more changing roles.  click on [i]my game[/i] at the top to see your role and a history of your actions.  you can also perform private actions there if appropriate"
193,"heh","07/15/08 18:55:33",28,,15,38,0,"heh"
194,"vote","07/15/08 18:56:10",28,,14,39,0,"vote"
204,"Random voting PIkaPika.","07/16/08 00:49:48",28,,20,-1,0,"Random voting PIkaPika."
205,"Just be careful people, its only 4 to lynch because this is a seven player game.  I dont mind random wagons but if SSK did his vote right, I would be at L-1.<br>
<br>
*To SSK*<br>
You have to check the vote box at the bottom of the page","07/16/08 01:04:00",28,,21,-1,0,"Just be careful people, its only 4 to lynch because this is a seven player game.  I dont mind random wagons but if SSK did his vote right, I would be at L-1.

*To SSK*
You have to check the vote box at the bottom of the page"
206,"pika &gt; kirby in SSBB :D","07/16/08 01:08:36",35,,21,-1,0,"pika > kirby in SSBB :D"
207,"Screw you, SSK!","07/16/08 01:20:29",28,,16,44,0,"Screw you, SSK!"
208,"So is there a certain system to work for when determining Vig/Mafia kills?<br>
<br>
Like, slappin' down this vote here says I wanna kill Lalelaubach?!","07/16/08 01:21:32",28,,16,45,2,"So is there a certain system to work for when determining Vig/Mafia kills?

Like, slappin' down this vote here says I wanna kill Lalelaubach?!"
209,"Ah, Mafiavote, I see!","07/16/08 01:21:49",28,,16,-1,2,"Ah, Mafiavote, I see!"
210,"<i>bweh heh heh</i>","07/16/08 01:23:27",35,,16,-1,0,"[i]bweh heh heh[/i]"
211,"lol, this is fun. BTB i hate pokemon! lol (not all of them just pikachu)","07/16/08 10:05:10",28,,17,46,0,"lol, this is fun. BTB i hate pokemon! lol (not all of them just pikachu)"
212,"Yeah, I did my vote right. =D<br>
<br>
Now its time to claim Pika.","07/16/08 13:00:44",28,,20,48,0,"Yeah, I did my vote right. =D

Now its time to claim Pika."
213,"So you can double vote.","07/16/08 13:01:21",28,,20,-1,0,"So you can double vote."
214,"You can double vote.","07/16/08 13:01:52",29,,20,-1,0,"You can double vote."
215,"This is going to be a typical game. Feel free to signup.","07/16/08 13:03:39",33,,20,-1,0,"This is going to be a typical game. Feel free to signup."
321,"I claim townie.","07/19/08 01:56:56",35,,20,-1,0,"I claim townie."
323,"WC, have you considered a ""automatically log in every time"" type button? It's kinda tiresome to keep logging in.","07/19/08 05:48:09",29,,22,-1,0,"WC, have you considered a ""automatically log in every time"" type button? It's kinda tiresome to keep logging in."
537,"yeah.. pretty sure this day ended a long time ago... but it was worth a shot","07/23/08 16:30:41",33,,14,-1,0,"yeah.. pretty sure this day ended a long time ago... but it was worth a shot"
538,"<b>mod, kill this game already</b>","07/23/08 16:37:46",33,,22,-1,0,"[b]mod, kill this game already[/b]"
540,"yeah Korts and I already won this game, *cheer*","07/23/08 16:53:00",33,,21,-1,0,"yeah Korts and I already won this game, *cheer*"
541,"lets test that bulletproof claim","07/23/08 16:55:58",40,,21,132,0,"lets test that bulletproof claim"
542,"Modnote: flavor may or may not have anything to do with the actual game. (Hint: it's ""may not"")","07/23/08 17:04:03",40,,22,-1,0,"Modnote: flavor may or may not have anything to do with the actual game. (Hint: it's ""may not"")"
543,"hi5<br>
<br>
BTW, sorry for not finding the mafia discussion in time... I had to pm MafiaSSK over at mafiascum to find it. I guess I'm just lame like that.","07/23/08 17:04:27",33,,22,-1,0,"hi5

BTW, sorry for not finding the mafia discussion in time... I had to pm MafiaSSK over at mafiascum to find it. I guess I'm just lame like that."
544,"Also, according to ace's claim in MafiaSSK's game, cops get a full role as investigation result, while (IMO at least, and it's the widely accepted use of the cop role) they should only get innocent/guilty.","07/23/08 17:07:59",29,,22,-1,0,"Also, according to ace's claim in MafiaSSK's game, cops get a full role as investigation result, while (IMO at least, and it's the widely accepted use of the cop role) they should only get innocent/guilty."
196,"I'll update this as I run across good things for an <b>FAQ</b><br>
<br>
Q: What's this all about?<br>
A: It's like the party game of <b>mafia</b>.  For some information on how its played (specifically online) check out this: <a href='http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf'>http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf</a><br>
<br>
Q: How do I join a game?<br>
A: Games on <b>DAY 0</b> can be joined by clicking the ""signup"" button that appears just below the player list<br>
<br>
Q: How do I vote?<br>
A: Once a game starts (moves beyond <b>Day 0</b>), as long as you're not dead and there are other players in the game, you have the option to post a vote (through a dropdown of players) along with your post<br>
<br>
Q: Can I create my own game?<br>
A: Yep.  Just click on your username at the top of the site and there is a <b>create game</b> choice.<br>
<br>
Q: What if I'm a mafia?  How do I know, and how do I cast vote as mafia?<br>
A: You can find out your role in the game by looking for your name in the player list of the game display screen.  You can find out details by clicking on <b>my game</b> which will appear in the title bar of any game that you are signed up for.  From there you can tell if you are a ""villager"" (vanilla player) or mafia.  If you are a special game role, you will also have options on this screen for performing your role specific actions.<br>
<br>
Q: It seems like these turns take forever... what's the deal?<br>
A: Since this is a forum game, it is assumed that not everyone is in front of their computer at all times.  As a result, games are typically player where one game day is equal to one real-life day.<br>
","07/15/08 19:29:58",34,"Information for new users...",15,-1,0,"I'll update this as I run across good things for an [b]FAQ[/b]

Q: What's this all about?
A: It's like the party game of [b]mafia[/b].  For some information on how its played (specifically online) check out this: [url=http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf]http://www.sitesled.com/members/mikeburnfire/mafiascum04.swf[/url]

Q: How do I join a game?
A: Games on [b]DAY 0[/b] can be joined by clicking the ""signup"" button that appears just below the player list

Q: How do I vote?
A: Once a game starts (moves beyond [b]Day 0[/b]), as long as you're not dead and there are other players in the game, you have the option to post a vote (through a dropdown of players) along with your post

Q: Can I create my own game?
A: Yep.  Just click on your username at the top of the site and there is a [b]create game[/b] choice.

Q: What if I'm a mafia?  How do I know, and how do I cast vote as mafia?
A: You can find out your role in the game by looking for your name in the player list of the game display screen.  You can find out details by clicking on [b]my game[/b] which will appear in the title bar of any game that you are signed up for.  From there you can tell if you are a ""villager"" (vanilla player) or mafia.  If you are a special game role, you will also have options on this screen for performing your role specific actions.

Q: It seems like these turns take forever... what's the deal?
A: Since this is a forum game, it is assumed that not everyone is in front of their computer at all times.  As a result, games are typically player where one game day is equal to one real-life day.
"
197,"<font size='3'>Rules</font><br>
This game will be to test the mechanics of the site.<br>
There will be a small number of mafia, the rest will be towns people.  There will be 2 special town roles.<br>
<br>
<font size='3'>Setting</font><br>
You live in a quiet suburban neighborhood.  Until the mob started moving in.  Now the murders begin... and the lynchings.<br>
<br>
<b>Sign-ups for this game will run through July 16th and at the end of the day I'll start the game.  After that I'll end the game around 9pm PST each night until only mafia or only townies remain</b><br>
","07/15/08 19:43:42",35,"A Very Simple Game...",15,-1,0,"[size=3]Rules[/size]
This game will be to test the mechanics of the site.
There will be a small number of mafia, the rest will be towns people.  There will be 2 special town roles.

[size=3]Setting[/size]
You live in a quiet suburban neighborhood.  Until the mob started moving in.  Now the murders begin... and the lynchings.

[b]Sign-ups for this game will run through July 16th and at the end of the day I'll start the game.  After that I'll end the game around 9pm PST each night until only mafia or only townies remain[/b]
"
198,"Please delete this game.","07/15/08 20:26:56",37,"Did this by accident",23,-1,0,"Please delete this game."
200,"changed my vote","07/15/08 20:49:02",28,,15,40,0,"changed my vote"
201,"I am allergic to players with numbers in their name","07/16/08 00:23:04",28,,21,41,0,"I am allergic to players with numbers in their name"
202,"I'm allergic to players that are electricity based.","07/16/08 00:30:53",28,,18,43,0,"I'm allergic to players that are electricity based."
203,"Yay. This should be fun especially with SenseFan","07/16/08 00:44:16",35,,20,-1,0,"Yay. This should be fun especially with SenseFan"
216,"yeah.. you can vote again.. it automatically retracts your old vote...  any thoughts on if this is a good or a bad thing?<br>
<br>
Also not sure about being able to edit posts... but since it doesn't allow you to change your vote, I was thinking that it's ok.<br>
","07/16/08 13:38:15",28,,15,-1,0,"yeah.. you can vote again.. it automatically retracts your old vote...  any thoughts on if this is a good or a bad thing?

Also not sure about being able to edit posts... but since it doesn't allow you to change your vote, I was thinking that it's ok.
"
218,"I have four votes so I think that I should be dead, good job on quicklynching your cop.<br>
<br>
Everyone should vote issac though if for some reason im not dead, he basically hammered me without letting me claim","07/16/08 14:07:35",28,,21,-1,0,"I have four votes so I think that I should be dead, good job on quicklynching your cop.

Everyone should vote issac though if for some reason im not dead, he basically hammered me without letting me claim"
222,"sorry pikapika... nothing personnal...... lol <br>
","07/16/08 14:13:58",28,,17,-1,0,"sorry pikapika... nothing personnal...... lol 
"
224,"Changing my vote... perhaps someone with ""mafia"" in their name shouldn't be trusted.<br>
","07/16/08 16:06:41",28,,14,51,0,"Changing my vote... perhaps someone with ""mafia"" in their name shouldn't be trusted.
"
225,"<b>protip: </b> mouse over your vote count at the top to see who voted for you...","07/16/08 16:47:19",28,,14,-1,0,"[b]protip: [/b] mouse over your vote count at the top to see who voted for you..."
226,"this is by design.. perhaps this should be a game specific option....","07/16/08 17:33:34",29,,15,-1,0,"this is by design.. perhaps this should be a game specific option...."
227,"From the shadows comes the cry, ""Wait! Wait! I <i>know</i> that he's innocent!""<br>
<br>
But it is too late, PikaPika has been executed by majority vote.  You have chosen... wisely.  PikaPika was indeed mafia, and was eliminated before having a chance to act.<br>
<br>
Unfortunately for the town, one member of the mafia remains.  One thing is for sure, it's the last mafia was not <b>lalelaubach</b>, the town seer, who went to sleep snug in her bed, but was never seen again.<br>
","07/16/08 19:54:34",28,"Day 2",15,-1,0,"From the shadows comes the cry, ""Wait! Wait! I [i]know[/i] that he's innocent!""

But it is too late, PikaPika has been executed by majority vote.  You have chosen... wisely.  PikaPika was indeed mafia, and was eliminated before having a chance to act.

Unfortunately for the town, one member of the mafia remains.  One thing is for sure, it's the last mafia was not [b]lalelaubach[/b], the town seer, who went to sleep snug in her bed, but was never seen again.
"
228,"PikaPika was the other mafia... but I don't think that was made clear enough...<br>
I've added some information on the front game page so that people realize what their role is...<br>
I will also add a display here that lists all the mafia<br>
<br>
","07/16/08 20:12:01",28,,15,-1,2,"PikaPika was the other mafia... but I don't think that was made clear enough...
I've added some information on the front game page so that people realize what their role is...
I will also add a display here that lists all the mafia

"
229,"* add a way for people to leave games (just non-running ones?)<br>
* lowercase usernames for ease of login?<br>
* how to avoid double forum posts... response.redirect?<br>
","07/16/08 20:26:27",29,,15,-1,2,"* add a way for people to leave games (just non-running ones?)
* lowercase usernames for ease of login?
* how to avoid double forum posts... response.redirect?
"
230,"hello there!","07/16/08 20:34:32",35,,27,-1,0,"hello there!"
232,"test","07/16/08 21:01:58",29,,15,-1,2,"test"
233,"and then there were five","07/16/08 21:03:51",28,,15,-1,0,"and then there were five"
237,"Voting Isaacb for hammering.","07/16/08 21:45:10",28,,20,52,0,"Voting Isaacb for hammering."
238,"question... would it be desirable if I changed the display at the top to show the role of the dead players?  How about a display at the top with the tallies of the numbers of living roles, or would that better be left as an unknown?<br>
","07/16/08 23:03:34",28,,15,-1,0,"question... would it be desirable if I changed the display at the top to show the role of the dead players?  How about a display at the top with the tallies of the numbers of living roles, or would that better be left as an unknown?
"
239,"test<br>
","07/16/08 23:09:28",29,,15,-1,2,"test
"
240,"I think I fixed the double-posting problem that some people have been having...<br>
","07/16/08 23:12:03",29,,15,-1,0,"I think I fixed the double-posting problem that some people have been having...
"
244,"You must defend your block from the criminal element.  Let them take over Elm Street instead.<br>
","07/17/08 00:07:33",35,"Day 1",15,-1,0,"You must defend your block from the criminal element.  Let them take over Elm Street instead.
"
245,"I think you'll have to drum up some support in order to get people into this game.. or just wait and slowly I'm sure people will drift in.","07/17/08 00:10:01",33,,15,-1,0,"I think you'll have to drum up some support in order to get people into this game.. or just wait and slowly I'm sure people will drift in."
246,"personal vendettas are never good, oh well","07/17/08 02:17:05",35,,21,-1,0,"personal vendettas are never good, oh well"
247,"and my vote box is missing... offical day 1 or dawn?","07/17/08 02:18:06",35,,21,-1,0,"and my vote box is missing... offical day 1 or dawn?"
249,"oops! Sorry... typo in the script as I made a few tweaks to how the site works....<br>
fixed now","07/17/08 02:36:48",35,,15,-1,0,"oops! Sorry... typo in the script as I made a few tweaks to how the site works....
fixed now"
250,"If you can see this.. then you are in the mafia.  Do what you guys do best and pick somebody whosa gonna die.<br>
","07/17/08 02:38:12",35,,15,-1,2,"If you can see this.. then you are in the mafia.  Do what you guys do best and pick somebody whosa gonna die.
"
251,"If you can read this.. then you are a mason...  no special abilities are conferred with this title, but you <i>do</i> have exclusive access to this private forum for the purposes of scheming...<br>
","07/17/08 02:39:04",35,,15,-1,13,"If you can read this.. then you are a mason...  no special abilities are conferred with this title, but you [i]do[/i] have exclusive access to this private forum for the purposes of scheming...
"
252,"<blockquote><hr noshade>Voting Isaacb for hammering.<hr noshade></blockquote><br>
I'd jump on that bandwagon.<br>
","07/17/08 02:42:27",28,,14,53,0,"[quote]Voting Isaacb for hammering.[/quote]
I'd jump on that bandwagon.
"
253,"Still not there for me, anyone else missing the ability to vote?","07/17/08 02:54:19",35,,21,-1,0,"Still not there for me, anyone else missing the ability to vote?"
254,"Vote the GAME MASTER!<br>
<br>
Ha ha!","07/17/08 04:01:10",28,,16,54,0,"Vote the GAME MASTER!

Ha ha!"
255,"But naw, seriously, I think I'll go withhhh...Hrm. A beta game like this really doesn't have much in the ways of reading people, does it?<br>
<br>
Go with the flow then!","07/17/08 04:02:27",28,,16,55,0,"But naw, seriously, I think I'll go withhhh...Hrm. A beta game like this really doesn't have much in the ways of reading people, does it?

Go with the flow then!"
256,"Yeah, I was wondering about that!<br>
<br>
I figured I was the only one!<br>
<br>
Regardless, neat system all around. What's the setup you got going with this web hostin' anyway, is this the free package?","07/17/08 04:04:00",28,,16,56,2,"Yeah, I was wondering about that!

I figured I was the only one!

Regardless, neat system all around. What's the setup you got going with this web hostin' anyway, is this the free package?"
257,"Hrm.","07/17/08 04:05:09",35,,16,-1,0,"Hrm."
258,"oi. heard you need beta testers.","07/17/08 05:09:41",33,,22,-1,0,"oi. heard you need beta testers."
259,"cool, it types out my role at the top. how does the mod set the particular roles, WC?","07/17/08 05:11:00",33,,22,-1,0,"cool, it types out my role at the top. how does the mod set the particular roles, WC?"
324,"I'll start the game now, seeing as I wont be here at 3.","07/19/08 10:58:27",33,,20,-1,0,"I'll start the game now, seeing as I wont be here at 3."
325,,"07/19/08 10:58:29",33,"Day 1",20,-1,0,
326,"<blockquote><hr noshade>WC, have you considered a ""automatically log in every time"" type button? It's kinda tiresome to keep logging in.<hr noshade></blockquote><br>
<br>
I will add cookie support...<br>
","07/19/08 11:09:06",29,,15,-1,0,"[quote]WC, have you considered a ""automatically log in every time"" type button? It's kinda tiresome to keep logging in.[/quote]

I will add cookie support...
"
500,"So when does the game begin?","07/23/08 02:30:14",31,,29,-1,0,"So when does the game begin?"
502,"hmmm... do cops get auto-results in this program?  If so I need to scrap dethy and go to a more standard format","07/23/08 02:54:42",39,,21,-1,0,"hmmm... do cops get auto-results in this program?  If so I need to scrap dethy and go to a more standard format"
503,"well ace is scum since I know im the seer, but I think Korts would be second scum as a one-shot vig doesnt seem to fit the setup here","07/23/08 02:55:44",33,,21,-1,0,"well ace is scum since I know im the seer, but I think Korts would be second scum as a one-shot vig doesnt seem to fit the setup here"
504,"Maybe some setup eventually with multiple pull downs (bad with words) that looks &gt;like<br>
<br>
&gt;Town Aligned<br>
&gt;&gt;Vanilla Town<br>
&gt;&gt;Town Power<br>
&gt;&gt;&gt;Cop<br>
&gt;&gt;&gt;Doctor<br>
&gt;&gt;&gt;Mason<br>
&gt;&gt;&gt;Vig<br>
&gt;&gt;&gt;etc<br>
<br>
&gt;Mafia Aligned<br>
&gt;&gt;Mafia Goon<br>
&gt;&gt;Mafia Power<br>
&gt;&gt;&gt;Godfather<br>
&gt;&gt;&gt;Roleblocker<br>
&gt;&gt;&gt;etc<br>
","07/23/08 03:00:52",40,,21,-1,0,"Maybe some setup eventually with multiple pull downs (bad with words) that looks >like

>Town Aligned
>>Vanilla Town
>>Town Power
>>>Cop
>>>Doctor
>>>Mason
>>>Vig
>>>etc

>Mafia Aligned
>>Mafia Goon
>>Mafia Power
>>>Godfather
>>>Roleblocker
>>>etc
"
